"Lat_diff","DOM","followers","price","square","floor","subway","HouseAge","communityAverage","elevator"
0.517725999999996,200,589,24391,205,7,"0",15,36411,"0"
0.519208999999996,223,48,43399,146.32,6,"1",12,37700,"0"
0.383156,247,0,111367,183,18,"0",9,99502,"1"
0.328468000000001,163,26,72011,131.23,30,"0",5,61865,"1"
0.489246999999999,164,38,50000,132,18,"1",13,49956,"1"
0.517725999999996,191,41,32280,136,18,"0",14,36411,"1"
0.438044999999995,160,6,39604,151.5,17,"1",13,40427,"1"
0.332777,165,44,100330,142.53,16,"1",13,97655,"1"
0.399567999999995,219,64,82026,140.2,23,"0",19,85478,"1"
0.402415999999995,152,9,110653,133.3,7,"1",21,116074,"0"
0.522160999999997,153,38,36213,156.85,7,"1",11,49033,"0"
0.494948000000001,198,94,82735,175.26,5,"1",12,75490,"0"
0.297813999999995,199,19,56761,167.37,18,"1",8,54571,"1"
0.517561999999998,196,53,34626,166.93,6,"0",10,38384,"0"
0.509841999999999,186,16,59316,303.46,3,"0",16,67509,"0"
0.330452000000001,213,61,59212,166.86,28,"1",14,56356,"1"
0.329087000000001,199,62,66816,143.68,23,"0",15,47557,"0"
0.416432,247,110,83228,282.36,26,"1",15,91516,"1"
0.533975999999996,185,51,44760,134.72,6,"1",12,46280,"0"
0.494948000000001,186,62,71344,217.26,5,"1",12,75490,"0"
0.379937999999996,190,53,49076,130.41,7,"0",13,36885,"0"
0.432989999999997,170,38,67639,238.03,32,"1",17,62705,"1"
0.394788999999996,200,37,102787,147.88,22,"1",11,107168,"1"
0.501582999999997,187,114,69463,152.6,5,"0",13,69655,"0"
0.610886999999998,184,66,34883,140.47,18,"0",9,39766,"1"
0.499980999999998,206,9,84138,145,26,"0",3,76071,"1"
0.523500999999996,143,62,36829,141.06,6,"0",14,39052,"0"
0.323228999999998,182,80,59817,188.91,18,"0",17,54289,"1"
0.511099999999999,178,120,42381,152.9,5,"1",17,52390,"0"
0.212876999999999,178,24,53782,238,15,"0",5,55502,"1"
0.522371999999997,134,45,32867,149.09,6,"0",13,38281,"0"
0.319671,188,68,87761,192,13,"1",15,93400,"1"
0.420569,178,119,62692,215.02,7,"1",18,69883,"0"
0.479031999999997,144,48,66376,180.79,6,"1",21,107251,"0"
0.316972,134,15,78290,152,23,"0",18,80133,"1"
0.381436000000001,175,97,63944,142,22,"1",16,60459,"1"
0.254004999999999,172,24,54432,169.02,4,"0",7,43889,"1"
0.517795999999997,127,22,37979,132.97,10,"1",14,37661,"1"
0.364683999999997,167,38,67053,173,9,"0",8,64797,"1"
0.330373999999999,132,34,91636,136.41,26,"1",17,81624,"1"
0.329218999999995,167,73,67319,132.95,22,"1",13,76941,"1"
0.476939999999999,131,59,71710,137.36,18,"1",11,77726,"1"
0.303840999999998,189,14,34969,175.3,19,"1",11,36432,"1"
0.303840999999998,231,5,36224,175.3,19,"1",11,36432,"1"
0.279114999999997,131,10,54658,146,30,"1",15,57277,"1"
0.562852999999997,139,33,32938,160,5,"0",15,38119,"0"
0.412346999999997,175,44,47226,254.1,22,"1",19,75591,"1"
0.340941999999998,134,40,76941,135.17,15,"1",13,79235,"1"
0.203333999999998,158,138,40702,142.5,6,"0",9,47318,"0"
0.312576,186,83,78595,302.82,12,"1",8,89166,"1"
0.359564999999996,187,21,69179,172.02,32,"0",12,68904,"1"
0.492807999999997,158,288,43919,148,25,"1",9,60785,"1"
0.360465999999995,134,8,47134,157,33,"1",12,50166,"1"
0.368032999999997,116,102,60466,258,18,"1",10,83321,"1"
0.517561999999998,159,41,35704,166.93,6,"0",10,38384,"0"
0.524913999999995,116,3,30397,190.81,7,"0",17,43281,"0"
0.475231999999998,170,86,76395,130.9,6,"1",18,78864,"0"
0.490992999999996,154,47,74349,144.59,9,"0",9,63665,"1"
0.522902999999999,163,66,26570,225.82,12,"0",12,36869,"1"
0.649831999999996,115,23,15321,156,6,"0",9,35734,"1"
0.649831999999996,115,54,24359,156,6,"0",9,35734,"1"
0.517561999999998,164,83,44416,153.1,15,"0",9,38384,"1"
0.390754000000001,366,43,37015,193.17,6,"1",22,40275,"1"
0.382688999999999,152,72,103575,144.34,7,"0",17,100694,"1"
